2024-02-10 11:12:44,163 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:12:44,749 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:12:45,221 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:12:49,182 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:12:49,775 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:12:50,237 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:12:54,206 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:12:54,800 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:12:55,258 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:12:59,225 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:12:59,837 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:13:00,276 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:04,242 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:04,863 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:13:05,301 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:09,257 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:09,891 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:13:10,320 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:14,291 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:14,917 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:13:15,339 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:19,306 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:19,934 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:13:20,365 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:24,323 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:24,958 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:13:25,384 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:29,252 INFO    StreamThr :76289 [internal.py:wandb_internal():86] W&B internal server running at pid: 76289, started at: 2024-02-10 11:13:29.251046
2024-02-10 11:13:29,253 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status
2024-02-10 11:13:29,264 INFO    WriterThread:76289 [datastore.py:open_for_write():87] open: /Users/lihongxuan/Desktop/AIPI/Courses/AIPI540/AIPI-540/classifier/wandb/run-20240210_111329-64emolsk/run-64emolsk.wandb
2024-02-10 11:13:29,264 DEBUG   SenderThread:76289 [sender.py:send():382] send: header
2024-02-10 11:13:29,302 DEBUG   SenderThread:76289 [sender.py:send():382] send: run
2024-02-10 11:13:29,343 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:29,757 INFO    SenderThread:76289 [dir_watcher.py:__init__():211] watching files in: /Users/lihongxuan/Desktop/AIPI/Courses/AIPI540/AIPI-540/classifier/wandb/run-20240210_111329-64emolsk/files
2024-02-10 11:13:29,757 INFO    SenderThread:76289 [sender.py:_start_run_threads():1136] run started: 64emolsk with start time 1707581609.250332
2024-02-10 11:13:30,402 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
